,find_number,Name,type_find,lat,long,num_coins,year_found,year_found_end,comments,imported,references,owner,created,hoard?,single?,excavation?,cf_custom_region_vague
54,3109,Grossengottern,Single Find,51.15,10.583,1,1700,2023,,06-12-2023,http://afe.dainst.org/findspot?afeid=3109 || http://afe.dainst.org/detailedresult?l=en&link=11679 || http://afe.dainst.org/detailedresult?l=en&link=11699,DAI,06-12-2023,False,False,False,2
55,3111,Horsmar,Single Find,51.28,10.407,1,1700,2023,,06-12-2023,http://afe.dainst.org/findspot?afeid=3111 || http://afe.dainst.org/detailedresult?l=en&link=11705,DAI,06-12-2023,False,False,False,2
56,3118,Mühlhausen/Thüringen (Grabfunde),Hoard Find,51.209,10.453,2,1700,2023,,06-12-2023,http://afe.dainst.org/findspot?afeid=3118 || http://afe.dainst.org/detailedresult?l=en&link=11862 || http://afe.dainst.org/detailedresult?l=en&link=11863,DAI,06-12-2023,False,False,True,2
57,3123,Bei Schlotheim,Single Find,51.247,10.656,1,1700,2023,,06-12-2023,http://afe.dainst.org/findspot?afeid=3123 || http://afe.dainst.org/detailedresult?l=en&link=11893,DAI,06-12-2023,False,False,False,2
58,3130,Umgebung von Beichlingen,Single Find,51.233,11.25,1,1700,2023,,06-12-2023,http://afe.dainst.org/findspot?afeid=3130 || http://afe.dainst.org/detailedresult?l=en&link=11923,DAI,06-12-2023,False,True,False,2
59,3142,Sömmerda,Single Find,51.159,11.115,1,1700,2023,,06-12-2023,http://afe.dainst.org/findspot?afeid=3142 || http://afe.dainst.org/detailedresult?l=en&link=11945,DAI,06-12-2023,False,False,False,2
60,3154,Kleinschwabhausen,Single Find,50.932,11.461,1,1700,2023,,06-12-2023,http://afe.dainst.org/findspot?afeid=3154 || http://afe.dainst.org/detailedresult?l=en&link=11959,DAI,06-12-2023,False,False,False,2
61,3158,Grossbodungen (Hortfund),Hoard Find,51.476,10.481,21,1700,2023,,06-12-2023,http://afe.dainst.org/findspot?afeid=3158 || http://afe.dainst.org/detailedresult?l=en&link=11964 || http://afe.dainst.org/detailedresult?l=en&link=11965 || http://afe.dainst.org/detailedresult?l=en&link=11966 || http://afe.dainst.org/detailedresult?l=en&link=11967 || http://afe.dainst.org/detailedresult?l=en&link=11968 || http://afe.dainst.org/detailedresult?l=en&link=11969 || http://afe.dainst.org/detailedresult?l=en&link=11970 || http://afe.dainst.org/detailedresult?l=en&link=11971 || http://afe.dainst.org/detailedresult?l=en&link=11972 || http://afe.dainst.org/detailedresult?l=en&link=11973 || http://afe.dainst.org/detailedresult?l=en&link=11974 || http://afe.dainst.org/detailedresult?l=en&link=11975 || http://afe.dainst.org/detailedresult?l=en&link=11976 || http://afe.dainst.org/detailedresult?l=en&link=11977 || http://afe.dainst.org/detailedresult?l=en&link=11978 || http://afe.dainst.org/detailedresult?l=en&link=11979 || http://afe.dainst.org/detailedresult?l=en&link=11980 || http://afe.dainst.org/detailedresult?l=en&link=11981 || http://afe.dainst.org/detailedresult?l=en&link=11982 || http://afe.dainst.org/detailedresult?l=en&link=11983 || http://afe.dainst.org/detailedresult?l=en&link=11984,DAI,06-12-2023,True,False,False,2
62,3163,Erfurt (Innenstadt) (Grabfund),Single Find,50.979,11.033,1,1700,2023,,06-12-2023,http://afe.dainst.org/findspot?afeid=3163 || http://afe.dainst.org/detailedresult?l=en&link=11991,DAI,06-12-2023,False,False,True,2
63,3165,Erfurt-Bischleben (Hortfund),Hoard Find,50.936,10.985,2,1700,2023,,06-12-2023,http://afe.dainst.org/findspot?afeid=3165 || http://afe.dainst.org/detailedresult?l=en&link=11994 || http://afe.dainst.org/detailedresult?l=en&link=11995,DAI,06-12-2023,True,False,False,2
64,3166,Erfurt-Bischleben (Grabfunde),Hoard Find,50.936,10.985,2,1700,2023,,06-12-2023,http://afe.dainst.org/findspot?afeid=3166 || http://afe.dainst.org/detailedresult?l=en&link=11996 || http://afe.dainst.org/detailedresult?l=en&link=11997,DAI,06-12-2023,False,False,True,2
